Family	Type	species	n_genes	median_degree	mean_degree	median_strength	median_transitivity	pct_on_conserved	pct_N_correlated
TCP	TFF	purple	110	356	4900.4	79.27	0.484	6.4	0
FHA	TFF	purple	103	3765	10812.9	743.32	0.584	52.4	0
TUB	TFF	purple	96	1621	10083.7	284.87	0.593	22.9	0
GeBP	TFF	purple	91	4226	11675.6	888.07	0.591	15.4	0
SWI/SNF-BAF60b	OTR	purple	83	4837	12035.6	1145.69	0.59	44.6	0
PAS	TFF	purple	83	6714	9468.6	1847.8	0.525	51.8	0
Alfin-like	TFF	purple	82	4807.5	13530.4	762.69	0.704	40.2	0
Jumonji	OTR	purple	78	1292.5	12235.3	238.32	0.599	24.4	0
zf-HD	TFF	purple	68	274	5712.4	65.81	0.492	10.3	0
zf-A20	TFF	purple	67	600	6594.8	179.69	0.461	23.9	0
SAP	TFF	purple	63	5979	12893	1393.01	0.607	30.2	0
MED26	OTR	purple	62	2632	10755.7	649.11	0.539	54.8	0
DDT	OTR	purple	60	3592	10715.1	623.36	0.574	53.3	0
E2F-DP	TFF	purple	55	585	8292	132.05	0.514	12.7	0
BSD	TFF	purple	55	6867	13177.2	1661.39	0.623	32.7	0
LIM	TFF	purple	53	632	6543.2	121.18	0.424	43.4	0
C2C2-CO-like	TFF	purple	51	11591	12868.2	4278.64	0.545	37.3	0
Sigma70-like	TFF	purple	50	8838.5	9056.2	3028.06	0.563	54	0
CPP	TFF	purple	49	934	8661.8	204.42	0.549	20.4	0
GRF	TFF	purple	49	394	6765.9	82.24	0.518	20.4	0
RWP-RK	TFF	purple	48	2677.5	11863.5	410.21	0.58	45.8	0
Trihelix	TFF	purple	47	750	5219.5	127.32	0.527	27.7	0
TAZ	TFF	purple	46	1254.5	9947.2	196.31	0.524	26.1	0
HMG	OTR	purple	44	138	5278.4	42.38	0.371	29.5	0
BES1	TFF	purple	42	4011	11028.7	831.71	0.585	23.8	0
PLATZ	TFF	purple	41	1147	8901.5	213	0.57	34.1	0
Pseudo_ARR-B	OTR	purple	38	4037	11321.3	886.63	0.507	55.3	0
ARID	OTR	purple	38	10589.5	15496.7	1795.86	0.691	47.4	0
zf-LSD1	TFF	purple	35	615	9784.9	91.47	0.545	31.4	0
TIG	TFF	purple	35	10641	15911.7	2157.83	0.681	54.3	0
zf-C5HC2	TFF	purple	31	600	8139.2	213	0.456	29	0
