Accession,Bioproject/GSA,Sample_Name,tissue,treatment,trait,genotype,soil_type,Organism
SAMC5708721,CRA028188,R_51N03_2N-2A,root,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708722,CRA028188,R_51N03_2N-3A,root,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708723,CRA028188,R_51N03_6N-1A,root,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708724,CRA028188,R_51N03_6N-2A,root,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708725,CRA028188,R_51N03_6N-3A,root,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708726,CRA028188,R_51N03_ON-1A,root,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708727,CRA028188,R_51N03_ON-2A,root,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708728,CRA028188,R_51N03_ON-3A,root,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708729,CRA028188,R_TA0Z_2N-1A,root,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708730,CRA028188,R_TA0Z_2N-2A,root,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708731,CRA028188,R_TA0Z_2N-3A,root,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708732,CRA028188,R_TA0Z_6N-1B,root,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708733,CRA028188,R_TA0Z_6N-2B,root,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708734,CRA028188,R_TA0Z_6N-3B,root,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708735,CRA028188,R_TA0Z_ON-1A,root,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708736,CRA028188,R_TA0Z_ON-2A,root,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708737,CRA028188,R_TA0Z_ON-3A,root,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
