species	gene	genotype	mean_tpm	log2FC_HighminusLow	p	interaction_p	interaction_p_segment_adj	padj	locus	family	our_family	in_network	deg_pct
sugarcane	SoffiXsponR570.06Eg019700	RB937570 (non-responsive)	89.263181625	-2.70466164703627	1.99721236616796e-10	0.2753050648599	0.272406953559818	1.3013544723569e-09	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.5580278376789
sugarcane	SoffiXsponR570.06Eg146200	RB975375 (responsive)	6.20693616666667	-0.814009680504146	0.00747524515706458	0.627341203097687	0.607567549646853	0.0132893247236704	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	15.6959419721623
sugarcane	SoffiXsponR570.06Eg146200	RB937570 (non-responsive)	4.27908320833333	-1.02059477630564	0.00429560917015337	0.627341203097687	0.607567549646853	0.00945034017433742	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	15.6959419721623
sugarcane	SoffiXsponR570.06Fg016300	RB975375 (responsive)	214.685893916667	-3.59644407632288	2.08525691471773e-08	0.250835736609563	0.24374911875732	5.56068510591394e-08	SCA2_2__c55824f2p11649	MYB_related	MYB;MYB-related	TRUE	66.3070966477161
sugarcane	SoffiXsponR570.06Fg016300	RB937570 (non-responsive)	228.521852208333	-3.07335161103804	1.00581969231795e-09	0.250835736609563	0.24374911875732	4.74172140664177e-09	SCA2_2__c55824f2p11649	MYB_related	MYB;MYB-related	TRUE	66.3070966477161
sugarcane	SoffiXsponR570.06Fg016500	RB975375 (responsive)	48.2602856666667	-2.28837077580625	2.5971187916619e-10	0.434620720611967	0.341393787240678	2.77026004443936e-09	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	54.6956479121741
sugarcane	SoffiXsponR570.06Fg016500	RB937570 (non-responsive)	44.919895375	-2.02164151954187	6.15393396364203e-07	0.434620720611967	0.341393787240678	1.84618018909261e-06	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	54.6956479121741
sugarcane	SoffiXsponR570.06Fg085200	RB975375 (responsive)	0.0384685416666667	-0.0554952840630898	0.235434652483939	0.109848412498119	0.11703541729843	0.251130295982868	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	FALSE	
sugarcane	SoffiXsponR570.06Fg085200	RB937570 (non-responsive)	0.00841120833333333	0.0229928879122074	0.192320142457366	0.109848412498119	0.11703541729843	0.244098642349734	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	FALSE	
sugarcane	SoffiXsponR570.06Gg069800	RB975375 (responsive)	0			0.32277847875431	0.328663612629613		SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	50.7591648696334
sugarcane	SoffiXsponR570.06Gg069800	RB937570 (non-responsive)	0.00208666666666667	0.00587493694386327	0.338800696196202	0.32277847875431	0.328663612629613	0.399300820516952	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	50.7591648696334
sugarcane	SoffiXsponR570.6_9Ag108700	RB975375 (responsive)	280.228441	-3.39341940918426	2.98042614409283e-08	0.130942686969485	0.130249772781226	7.33643358545928e-08	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.8065085277397
sugarcane	SoffiXsponR570.6_9Ag108700	RB937570 (non-responsive)	86.0801579583333	-2.7789695924365	2.35153883653977e-11	0.130942686969485	0.130249772781226	2.58669272019375e-10	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.8065085277397
sugarcane	SoffiXsponR570.6_9Ag108900	RB975375 (responsive)	58.0843174583333	-2.18367807532147	1.83058067790584e-08	0.469587391884696	0.389654036848137	5.32532560845336e-08	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	62.6661438933543
sugarcane	SoffiXsponR570.6_9Ag108900	RB937570 (non-responsive)	19.7784017916667	-1.92106298329658	4.11378728051089e-07	0.469587391884696	0.389654036848137	1.35754980256859e-06	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	62.6661438933543
sugarcane	SoffiXsponR570.6_9Ag248700	RB975375 (responsive)	4.86808533333333	-0.883117309600678	0.00150238101934645	0.624899936338051	0.603289714011595	0.00294569293358525	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	53.9252107429916
sugarcane	SoffiXsponR570.6_9Ag248700	RB937570 (non-responsive)	3.23236408333333	-0.719875919590424	0.00678149673275459	0.624899936338051	0.603289714011595	0.0131640818929942	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	53.9252107429916
sugarcane	SoffiXsponR570.6us88g046700	RB975375 (responsive)	12.3092942083333	-1.8719147876535	7.52111475809686e-09	0.00906931972870433	0.00373195280969333	2.67417413621222e-08	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	80.2955302881788
sugarcane	SoffiXsponR570.6us88g046700	RB937570 (non-responsive)	2.16228225	-1.13672739263016	2.75641644490993e-05	0.00906931972870433	0.00373195280969333	6.99705712938675e-05	SCA2_2__c76820f1p01331	MYB	MYB	TRUE	80.2955302881788
sugarcane	SoffiXsponR570.6us88g046900	RB975375 (responsive)	37.460074375	-3.13047915760549	7.92045790090916e-10	0.0246503653170731	0.0268305345869711	5.06909305658186e-09	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.983924720643
sugarcane	SoffiXsponR570.6us88g046900	RB937570 (non-responsive)	14.0569164166667	-2.3574700291158	5.64735648084262e-09	0.0246503653170731	0.0268305345869711	2.32953454834758e-08	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.983924720643
